Code;Code à Bar;Désignation;Stock;Famille;Marque;Prix Achat HT;MB%;TVA;PventeTTC;Pvente Pub HT;Code Frs;Code Frs;Intitulé Frs;Date Creation;Date Modification;Remise_Fidelite;Dernière PUHT;Dernière remise
001001001;7909990000034;START LAIT SAIDA 17PC ;0,000;BISCUITS;saida ;26,837;7,089;19,000;34,200;28,739;;;;02/11/2023;11/11/2023;0,000;;
001001002;7909990000171;MAJOR LAIT SAIDA 20PC;0,000;BISCUITS;saida ;21,784;7,241;19,000;27,800;23,361;;;;02/11/2023;04/11/2023;0,000;;
001001003;7909990000188;MAJOR FRAISE SAIDA 20PC;0,000;BISCUITS;saida ;21,784;7,241;19,000;27,800;23,361;;;;02/11/2023;04/11/2023;0,000;;
001001004;7909990000638;BREAK CHOCOLAT SAIDA 24PC;0,000;CAKE;saida ;9,099;7,132;19,000;11,600;9,748;;;;03/11/2023;11/11/2023;0,000;;
001001005;7909990001109;DCROC NOISETTE KIF 20PC;0,000;BISCUITS;KIF;22,924;8,140;19,000;29,500;24,790;;;;03/11/2023;04/11/2023;0,000;;
001001006;7909990001307;CREME DESSRT AROM SMAERT CHEF 24PC;0,000;CREME;SMART CHEF;8,800;28,915;19,000;13,500;11,345;;;;04/11/2023;04/11/2023;0,000;;
001001007;7909990001475;MAESTRO TAB LAIT 10PC;0,000;CHOCOLAT;SAID;25,104;8,122;19,000;32,300;27,143;;;;05/11/2023;11/11/2023;0,000;;
001001008;7909990001499;MAESTRO TAB LAIT NOISETTE 10PC;0,000;CHOCOLAT;SAID;25,756;8,647;19,000;33,300;27,983;;;;05/11/2023;11/11/2023;0,000;;
001001009;7909990001574;KROSS CHOCOLAT 24PC;0,000;CHOCOLAT;SAID;4,963;10,058;19,000;6,500;5,462;;;;05/11/2023;11/11/2023;0,000;;
002001001;7909990001031;TIGATO FRAISE KIF 20PC;0,000;BISCUITS;KIF;23,647;7,676;19,000;30,300;25,462;;;;03/11/2023;04/11/2023;0,000;;
002002001;7909990000010;COOKIES CACAO PEPITE CHOC SAIDA 12PC;0,000;BISCUITS;saida ;20,267;7,183;19,000;25,850;21,723;;;;02/11/2023;11/11/2023;0,000;;
002002002;7909990000027;LOOPI CHOCOLAT SAIDA 24PC;0,000;BISCUITS;saida ;21,839;7,163;19,000;27,850;23,403;;;;02/11/2023;11/11/2023;0,000;;
002002003;7909990000041;TUC CLASSIQUE SAIDA 24PC ;0,000;BISCUITS;saida ;23,163;7,387;19,000;29,600;24,874;;;;02/11/2023;11/11/2023;0,000;;
002002004;7909990000058;PALET AU BEURRE PETIT CHOC SAIDA GM 24PC ;0,000;BISCUITS;saida ;11,416;8,207;19,000;14,700;12,353;;;;02/11/2023;11/11/2023;0,000;;
002002005;7909990000065;MAJOR CHOCOLAIT SAIDA 20PC;0,000;BISCUITS;saida ;21,784;7,241;19,000;27,800;23,361;;;;02/11/2023;04/11/2023;0,000;;
002002006;7909990000072;CROUSTINA CHOCOLAT GF SAIDA 21PC;0,000;BISCUITS;saida ;19,254;7,366;19,000;24,600;20,672;;;;02/11/2023;11/11/2023;0,000;;
002002007;7909990000089;CROUSTINA LAIT GF SAIDA 21PC;0,000;BISCUITS;saida ;19,254;7,366;19,000;24,600;20,672;;;;02/11/2023;11/11/2023;0,000;;
002002008;7909990000096;CROUSTINA CACAO/VANILLE GF SAIDA 21PC;0,000;BISCUITS;saida ;19,254;7,366;19,000;24,600;20,672;;;;02/11/2023;11/11/2023;0,000;;
002002009;7909990000102;CROUSTINA CHOCOLAT PF SAIDA 40PC;0,000;BISCUITS;saida ;13,787;7,884;19,000;17,700;14,874;;;;02/11/2023;11/11/2023;0,000;;
002002010;7909990000119;CROUSTINA LAIT PF SAIDA 40PC;0,000;BISCUITS;saida ;13,787;7,274;19,000;17,600;14,790;;;;02/11/2023;04/11/2023;0,000;;
002002011;7909990000126;CROUSTINA CACAO/VANILLE PF SAIDA 40PC;0,000;BISCUITS;saida ;13,787;7,274;19,000;17,600;14,790;;;;02/11/2023;11/11/2023;0,000;;
002002012;7909990000133;CROUSTINA NOISETTE PF SAIDA 40PC;0,000;BISCUITS;saida ;13,787;7,274;19,000;17,600;14,790;;;;02/11/2023;11/11/2023;0,000;;
002002013;7909990000140;CROUSTINA BLACK/WHITE PF SAIDA 40PC;0,000;BISCUITS;saida ;13,787;7,274;19,000;17,600;14,790;;;;02/11/2023;11/11/2023;0,000;;
002002014;7909990000157;CROUSTINA CAPPUCCINO PF SAIDA 40PC;0,000;BISCUITS;saida ;13,787;7,274;19,000;17,600;14,790;;;;02/11/2023;11/11/2023;0,000;;
002002015;7909990000164;MAJOR VANIELLE SAIDA 20PC;0,000;BISCUITS;saida ;21,784;7,241;19,000;27,800;23,361;;;;02/11/2023;04/11/2023;0,000;;
002002016;7909990000195;GAUFRETTES CHOCOLAT SAIDA 24PC;0,000;BISCUITS;saida ;17,372;7,388;19,000;22,200;18,655;;;;02/11/2023;11/11/2023;0,000;;
002002017;7909990000201;GAUFRETTES CHOCOLAT NOIR SAIDA 24PC;0,000;BISCUITS;saida ;17,372;7,388;19,000;22,200;18,655;;;;02/11/2023;11/11/2023;0,000;;
002002018;7909990000218;GAUFRETTES VANILLE SAIDA 24PC;0,000;BISCUITS;saida ;17,372;7,388;19,000;22,200;18,655;;;;02/11/2023;04/11/2023;0,000;;
002002019;7909990000225;GAUFRETTES NOISETTE SAIDA 24PC;0,000;BISCUITS;saida ;17,372;7,388;19,000;22,200;18,655;;;;02/11/2023;11/11/2023;0,000;;
002002020;7909990000232;GAUFRETTES FRAISE SAIDA 24PC;0,000;BISCUITS;saida ;17,372;7,388;19,000;22,200;18,655;;;;02/11/2023;11/11/2023;0,000;;
002002021;7909990000249;BISCUIT EXTRA 24 SAIDA 20PC;0,000;BISCUITS;saida ;27,988;7,189;19,000;35,700;30,000;;;;02/11/2023;11/11/2023;0,000;;
002002022;7909990000256;BISCUIT EXTRA 24 CACAOTE SAIDA 20PC;0,000;BISCUITS;saida ;31,021;7,273;19,000;39,600;33,277;;;;02/11/2023;11/11/2023;0,000;;
002002023;7909990000263;BISCUIT EXTRA 12 SAIDA 30PC;0,000;BISCUITS;saida ;22,542;7,363;19,000;28,800;24,202;;;;02/11/2023;11/11/2023;0,000;;
002002024;7909990000270;KAAK NRM SAIDA10PC;0,000;BISCUITS;saida ;19,302;7,099;19,000;24,600;20,672;;;;02/11/2023;04/11/2023;0,000;;
002002025;7909990000287;FENOUIL NRM SAIDA 10PC;0,000;BISCUITS;saida ;19,302;7,099;19,000;24,600;20,672;;;;02/11/2023;04/11/2023;0,000;;
002002026;7909990000294;SABLITO CHOCOLAT SAIDA 24PC;0,000;BISCUITS;saida ;31,104;7,257;19,000;39,700;33,361;;;;02/11/2023;11/11/2023;0,000;;
002002027;7909990000300;SABLITO TOUT CHOCOLAT SAIDA 24PC;0,000;BISCUITS;saida ;31,104;7,257;19,000;39,700;33,361;;;;02/11/2023;11/11/2023;0,000;;
002002028;7909990000317;SABLITO FRAISE SAIDA 24PC;0,000;BISCUITS;saida ;31,104;7,257;19,000;39,700;33,361;;;;02/11/2023;04/11/2023;0,000;;
002002029;7909990000324;SABLITO ABRICO SAIDA 24PC;0,000;BISCUITS;saida ;31,104;7,257;19,000;39,700;33,361;;;;02/11/2023;11/11/2023;0,000;;
002002030;7909990000331;SABLITO FIGUE SAIDA 24PC;0,000;BISCUITS;saida ;31,104;7,257;19,000;39,700;33,361;;;;02/11/2023;11/11/2023;0,000;;
002002031;7909990000348;COOKIES PEPITE CHOC SAIDA 12PC;0,000;BISCUITS;saida ;20,267;7,183;19,000;25,850;21,723;;;;02/11/2023;11/11/2023;0,000;;
002002032;7909990000355;PRINCE FOIURRE CHOCOLAT SAIDA 20PC;0,000;BISCUITS;saida ;22,060;7,042;19,000;28,100;23,613;;;;02/11/2023;11/11/2023;0,000;;
002002033;7909990000362;PRINCE FOIURRE VANILLE SAIDA 20PC;0,000;BISCUITS;saida ;22,060;7,042;19,000;28,100;23,613;;;;02/11/2023;11/11/2023;0,000;;
002002034;7909990000379;PRINCE POCHON CHOCOLAT SAIDA 35PC;0,000;BISCUITS;saida ;20,997;7,258;19,000;26,800;22,521;;;;02/11/2023;11/11/2023;0,000;;
002002035;7909990000386;PRINCE POCHON VANILLE SAIDA 35PC;0,000;BISCUITS;saida ;20,991;7,289;19,000;26,800;22,521;;;;02/11/2023;04/11/2023;0,000;;
002002036;7909990000393;GAUCHO CHOCOLAT SAIDA 60PC;0,000;BISCUITS;saida ;11,581;7,391;19,000;14,800;12,437;;;;02/11/2023;11/11/2023;0,000;;
002002037;7909990000409;GAUCHO BROWNIE SAIDA 60PC;0,000;BISCUITS;saida ;11,581;7,391;19,000;14,800;12,437;;;;02/11/2023;11/11/2023;0,000;;
002002038;7909990000416;TUC MINI SAIDA 30PC;0,000;BISCUITS;saida ;15,304;7,623;19,000;19,600;16,471;;;;02/11/2023;04/11/2023;0,000;;
002002039;7909990000423;TUC POCKET SAIDA 24PC;0,000;BISCUITS;saida ;12,409;7,675;19,000;15,900;13,361;;;;02/11/2023;11/11/2023;0,000;;
002002040;7909990000430;OXO 140GR BLACK GM SAIDA 20PC;0,000;BISCUITS;saida ;24,817;7,340;19,000;31,700;26,639;;;;02/11/2023;11/11/2023;0,000;;
002002041;7909990000447;OXO 56GR BLACK PM SAIDA 24PC;0,000;BISCUITS;saida ;14,394;8,005;19,000;18,500;15,546;;;;02/11/2023;11/11/2023;0,000;;
002002042;7909990000454;BISCUITE TUNGO SAIDA 20PC;0,000;BISCUITS;saida ;21,646;7,536;19,000;27,700;23,277;;;;02/11/2023;11/11/2023;0,000;;
002002043;7909990000461;TARTELETTES CHOCOLAT SAIDA 20PC;0,000;BISCUITS;saida ;24,817;7,340;19,000;31,700;26,639;;;;02/11/2023;11/11/2023;0,000;;
002002044;7909990000478;PALET AU BEURRE PM SAIDA 24PC;0,000;BISCUITS;saida ;11,085;8,406;19,000;14,300;12,017;;;;02/11/2023;11/11/2023;0,000;;
002002045;7909990000485;PALET AU BEURRE GM SAIDA 20PC;0,000;BISCUITS;saida ;23,714;7,372;19,000;30,300;25,462;;;;02/11/2023;11/11/2023;0,000;;
002002046;7909990000492;PALET AU BEURRE PEPIT CHOC PM SAIDA 24PC;0,000;BISCUITS;saida ;15,552;8,068;19,000;20,000;16,807;;;;02/11/2023;04/11/2023;0,000;;
002002047;7909990005480;MAJOR CARAMEL SAIDA 20PC;0,000;BISCUITS;saida ;21,784;7,241;19,000;27,800;23,361;;;;11/11/2023;11/11/2023;0,000;;
002003001;7909990000669;CHOCOTOM VANILLE TOM 20PC;0,000;BISCUITS;TOM;22,676;6,728;19,000;28,800;24,202;;;;03/11/2023;20/11/2023;0,000;;
002003003;7909990000683;CHOCOTOM CHOCOLAT TOM 20PC;0,000;BISCUITS;TOM;22,676;6,728;19,000;28,800;24,202;;;;03/11/2023;20/11/2023;0,000;;
002003004;7909990000690;CHOCOTOM LAIT CACAO TOM 20PC;0,000;BISCUITS;TOM;22,676;6,728;19,000;28,800;24,202;;;;03/11/2023;20/11/2023;0,000;;
002003005;7909990000706;CHOCOTOM FRAISE TOM 20PC;0,000;BISCUITS;TOM;22,676;6,728;19,000;28,800;24,202;;;;03/11/2023;20/11/2023;0,000;;
002003006;7909990000713;CHOCOTOM VANILLE TOM 20PC;0,000;BISCUITS;TOM;22,676;6,728;19,000;28,800;24,202;;;;03/11/2023;20/11/2023;0,000;;
002003007;7909990000720;CROQUETTE 56GR TOM 24PC;0,000;BISCUITS;TOM;9,012;10,031;19,000;11,800;9,916;;;;03/11/2023;04/11/2023;0,000;;
002003008;7909990000737;CROQUETTE 110GR TOM 12PC;0,000;BISCUITS;TOM;9,012;10,031;19,000;11,800;9,916;;;;03/11/2023;04/11/2023;0,000;;
002003009;7909990000744;CROQUETTE 215GR TOM 12PC;0,000;BISCUITS;TOM;15,187;9,005;19,000;19,700;16,555;;;;03/11/2023;04/11/2023;0,000;;
002003010;7909990000751;GAUFRETTE CHOCOLAT TOM 24PC;0,000;BISCUITS;TOM;15,898;11,002;19,000;21,000;17,647;;;;03/11/2023;11/11/2023;0,000;;
002003011;7909990000768;GAUFRETTE CHOCOTOM TOM 21PC;0,000;BISCUITS;TOM;20,582;9,421;19,000;26,800;22,521;;;;03/11/2023;20/11/2023;0,000;;
002003012;7909990000775;RINGO 70GR TOM 24PC;0,000;BISCUITS;TOM;16,840;5,192;22,500;21,700;17,714;;;;03/11/2023;11/11/2023;0,000;;
002003013;7909990000782;RINGO 35GR TOM 48PC;0,000;BISCUITS;TOM;17,682;7,882;19,000;22,700;19,076;;;;03/11/2023;11/11/2023;0,000;;
002003014;7909990000799;TURBO CHOCOLAT TOM 40PC;0,000;BISCUITS;TOM;9,300;10,238;19,000;12,200;10,252;;;;03/11/2023;11/11/2023;0,000;;
002003015;7909990000805;CHOCOTOON TOM 20PC;0,000;BISCUITS;TOM;20,588;8,165;19,000;26,500;22,269;;;;03/11/2023;11/11/2023;0,000;;
002003016;7909990000812;CHUNKOS PEPITE CHOCO 40GR TOM 36PC;0,000;BISCUITS;TOM;14,112;8,377;19,000;18,200;15,294;;;;03/11/2023;04/11/2023;0,000;;
002003017;7909990000829;CHUNKOS PEPITE CHOCO 80GR TOM 20PC;0,000;BISCUITS;TOM;15,000;8,683;19,000;19,400;16,303;;;;03/11/2023;04/11/2023;0,000;;
002006001;7909990000973;BINTO CHOCOLAT KIF 20PC;0,000;BISCUITS;KIF;21,370;8,139;19,000;27,500;23,109;;;;03/11/2023;11/11/2023;0,000;;
002006002;7909990000997;STAR CIGARE KIF 20PC;0,000;BISCUITS;KIF;17,116;8,012;19,000;22,000;18,487;;;;03/11/2023;11/11/2023;0,000;;
002006003;7909990001017;TIGATO NOISETTE KIF 20PC;0,000;BISCUITS;KIF;23,647;7,676;19,000;30,300;25,462;;;;03/11/2023;04/11/2023;0,000;;
002006004;7909990001024;TIGATO LAIT KIF 20PC;0,000;BISCUITS;KIF;23,647;7,676;19,000;30,300;25,462;;;;03/11/2023;04/11/2023;0,000;;
002006005;7909990001048;SMILE CHOCOLAT KIF 20PC;0,000;BISCUITS;KIF;20,701;9,198;19,000;26,900;22,605;;;;03/11/2023;11/11/2023;0,000;;
002006006;7909990001055;SMILE NOISETTE KIF 20PC;0,000;BISCUITS;KIF;20,701;9,198;19,000;26,900;22,605;;;;03/11/2023;04/11/2023;0,000;;
002006007;7909990001062;SMILE FRAISE KIF 20PC;0,000;BISCUITS;KIF;20,701;9,198;19,000;26,900;22,605;;;;03/11/2023;04/11/2023;0,000;;
002006008;7909990001079;SMILE LAIT KIF 20PC;0,000;BISCUITS;KIF;20,701;9,198;19,000;26,900;22,605;;;;03/11/2023;04/11/2023;0,000;;
002006009;7909990001086;DCROC TIRAMISOU KIF 20PC;0,000;BISCUITS;KIF;22,924;8,140;19,000;29,500;24,790;;;;03/11/2023;04/11/2023;0,000;;
002006010;7909990001093;DCROC CHOCOLAT KIF 20PC;0,000;BISCUITS;KIF;22,924;8,140;19,000;29,500;24,790;;;;03/11/2023;04/11/2023;0,000;;
002006011;7909990001116;DCROC CAPUCCINO KIF 20PC;0,000;BISCUITS;KIF;22,924;8,140;19,000;29,500;24,790;;;;03/11/2023;04/11/2023;0,000;;
002010001;7909990005442;CIGAER ZOOM LE PATISSIER 80PC;0,000;BISCUITS;LA PATISSIERE;8,000;12,500;0,000;9,000;9,000;;;;10/11/2023;11/11/2023;0,000;;
002010002;7909990005459;CIGART FLIGHT LE PATISSIER 24PC;0,000;BISCUITS;LA PATISSIERE;5,000;20,000;0,000;6,000;6,000;;;;10/11/2023;11/11/2023;0,000;;
002016001;7909990002625;BARETTE TRIX 60PC;0,000;BISCUITS;SOUK;13,500;18,519;0,000;16,000;16,000;;;;07/11/2023;07/11/2023;0,000;;
002016002;7909990002663;BISCUIT BREAKTIME 700GR;0,000;BISCUITS;SOUK;3,200;25,000;0,000;4,000;4,000;;;;07/11/2023;11/11/2023;0,000;;
002016003;7909990005695;COOKIES PALM DOR 10PC;0,000;BISCUITS;SOUK;9,500;10,526;0,000;10,500;10,500;;;;15/11/2023;15/11/2023;0,000;;
002026001;7909990003806;GAUFRETTE MINI LINGOT 60PC;0,000;BISCUITS;LINGOT;9,613;13,642;19,000;13,000;10,924;;;;09/11/2023;11/11/2023;0,000;;
002026002;7909990003813;GAUFRETTE LINGOT 24PC;0,000;BISCUITS;LINGOT;13,067;18,973;19,000;18,500;15,546;;;;09/11/2023;11/11/2023;0,000;;
002026003;7909990003820;BISCUIT GO_ON LINGOT 20PC;0,000;BISCUITS;LINGOT;18,816;13,885;19,000;25,500;21,429;;;;09/11/2023;11/11/2023;0,000;;
002026004;7909990003837;BISCUIT PRIMO LINGOT 20PC;0,000;BISCUITS;LINGOT;22,579;13,514;19,000;30,500;25,630;;;;09/11/2023;09/11/2023;0,000;;
002026005;7909990003851;BISKREM DUO 54G*24PC;0,000;BISCUITS;LINGOT;23,420;10,514;19,000;30,800;25,882;;;;09/11/2023;09/11/2023;0,000;;
002026006;7909990003868;BISKREM DUO 85G*24PC;0,000;BISCUITS;LINGOT;36,172;6,866;19,000;46,000;38,655;;;;09/11/2023;11/11/2023;0,000;;
002026007;7909990003875;BISKREM CHOCOLAT 54G*24PC;0,000;BISCUITS;LINGOT;23,420;9,437;19,000;30,500;25,630;;;;09/11/2023;09/11/2023;0,000;;
002026008;7909990003882;BISKREM CHOCOLAT 85G*24PC;0,000;BISCUITS;LINGOT;36,172;6,866;19,000;46,000;38,655;;;;09/11/2023;11/11/2023;0,000;;
002030001;7909990004063;GRAIN DOR CACAO 35G*10PC;0,000;BISCUITS;NESTLE;5,958;10,014;19,000;7,800;6,555;;;;09/11/2023;11/11/2023;0,000;;
002030002;7909990004070;GRAIN DOR MIEL 35G*10PC;0,000;BISCUITS;NESTLE;5,958;10,014;19,000;7,800;6,555;;;;09/11/2023;11/11/2023;0,000;;
002030003;7909990004087;GRAIN DOR CACAO 300G*1PC;0,000;BISCUITS;NESTLE;3,601;9,680;19,000;4,700;3,950;;;;09/11/2023;11/11/2023;0,000;;
002030004;7909990004094;GRAIN DOR MIEL 300G*1PC;0,000;BISCUITS;NESTLE;3,601;9,680;19,000;4,700;3,950;;;;09/11/2023;11/11/2023;0,000;;
002030005;7909990004100;GRAIN DOR CACAO 600G*1PC;0,000;BISCUITS;NESTLE;7,716;10,161;0,000;8,500;8,500;;;;09/11/2023;12/11/2023;0,000;;
002030006;7909990004117;GRAIN DOR MIEL 600G*1PC;0,000;BISCUITS;NESTLE;7,716;10,161;0,000;8,500;8,500;;;;09/11/2023;12/11/2023;0,000;;
003002001;7909990000508;BEIGNET CHOCOLAT SAIDA 24PC;0,000;CAKE;saida ;9,927;8,354;19,000;12,800;10,756;;;;02/11/2023;11/11/2023;0,000;;
003002002;7909990000515;TARTE AMANDE SAIDA 24PC;0,000;CAKE;saida ;12,409;7,675;19,000;15,900;13,361;;;;02/11/2023;11/11/2023;0,000;;
003002003;7909990000522;TARTE FIGUE SAIDA 24PC;0,000;CAKE;saida ;12,409;7,675;19,000;15,900;13,361;;;;02/11/2023;11/11/2023;0,000;;
003002004;7909990000539;TARTE FRAISE SAIDA 24PC;0,000;CAKE;saida ;12,409;7,675;19,000;15,900;13,361;;;;02/11/2023;11/11/2023;0,000;;
003002005;7909990000546;TARTE POMME SAIDA 24PC;0,000;CAKE;saida ;12,409;7,675;19,000;15,900;13,361;;;;02/11/2023;11/11/2023;0,000;;
003002006;7909990000553;TARTE ABRICO SAIDA 24PC;0,000;CAKE;saida ;12,409;7,675;19,000;15,900;13,361;;;;02/11/2023;11/11/2023;0,000;;
003002007;7909990000560;BROWNIE CHOCOLAT SAIDA 30PC;0,000;CAKE;saida ;15,718;9,600;19,000;20,500;17,227;;;;02/11/2023;11/11/2023;0,000;;
003002008;7909990000577;PLUM CAKE SAIDA 30PC;0,000;CAKE;saida ;10,134;8,628;19,000;13,100;11,008;;;;02/11/2023;11/11/2023;0,000;;
003002009;7909990000584;MUFFIN CHOCOLAT SAIDA 36PC;0,000;CAKE;saida ;16,131;9,398;19,000;21,000;17,647;;;;02/11/2023;11/11/2023;0,000;;
003002010;7909990000591;MUFFIN ABRICO SAIDA 36PC;0,000;CAKE;saida ;16,131;9,398;19,000;21,000;17,647;;;;02/11/2023;04/11/2023;0,000;;
003002011;7909990000607;MUFFIN NOISETTE SAIDA 36PC;0,000;CAKE;saida ;16,131;9,398;19,000;21,000;17,647;;;;02/11/2023;11/11/2023;0,000;;
003002012;7909990000614;MUFFIN FRAISE SAIDA 36PC;0,000;CAKE;saida ;16,131;9,398;19,000;21,000;17,647;;;;02/11/2023;04/11/2023;0,000;;
003002013;7909990000621;BREAK VANILLE SAIDA 24PC;0,000;CAKE;saida ;9,099;7,132;19,000;11,600;9,748;;;;03/11/2023;11/11/2023;0,000;;
003002014;7909990000645;BREAK BAR CARAMEL SAIDA 24PC;0,000;CAKE;saida ;12,408;7,006;19,000;15,800;13,277;;;;03/11/2023;11/11/2023;0,000;;
003002015;7909990000652;PRINCE MINI GATEAUX SAIDA 28PC;0,000;CAKE;saida ;12,160;7,115;19,000;15,500;13,025;;;;03/11/2023;11/11/2023;0,000;;
003004001;7909990000836;SNAPY CROISSANT CHOCOLAT BONELLE 20PC;0,000;CAKE;BONELLE;12,730;8,920;19,000;16,500;13,866;;F_22/1000002;STE LAPPETISSANTE S.A (TOM);03/11/2023;11/11/2023;0,000;;
003004002;7909990000843;SNAPY CROISSANT NORMAL BONELLE 20PC;0,000;CAKE;BONELLE;9,495;10,629;19,000;12,500;10,504;;;;03/11/2023;11/11/2023;0,000;;
003005001;7909990000850;MUFFIN CHOCOLAT MOULIN DOR 36PC;0,000;CAKE;MOULIN DOR;20,500;5,000;0,000;21,525;21,525;;;;03/11/2023;11/11/2023;0,000;;
003005002;7909990000867;MUFFIN ABRICO MOULIN DOR 36PC;0,000;CAKE;MOULIN DOR;20,500;5,000;0,000;21,525;21,525;;;;03/11/2023;11/11/2023;0,000;;
003005003;7909990000874;MUFFIN FRAISE MOULIN DOR 36PC;0,000;CAKE;MOULIN DOR;20,500;5,000;0,000;21,525;21,525;;;;03/11/2023;04/11/2023;0,000;;
003005004;7909990000881;BROWNIE MOULIN DOR 30PC;0,000;CAKE;MOULIN DOR;19,500;5,128;0,000;20,500;20,500;;;;03/11/2023;11/11/2023;0,000;;
003005005;7909990000898;BLANDIZ MOULIN DOR 30PC;0,000;CAKE;MOULIN DOR;19,500;5,128;0,000;20,500;20,500;;;;03/11/2023;11/11/2023;0,000;;
003005006;7909990000904;MINI CAKE MOALIN DOR 30PC;0,000;CAKE;MOULIN DOR;12,800;7,813;0,000;13,800;13,800;;;;03/11/2023;11/11/2023;0,000;;
003005007;7909990000911;ROLLO CAKE MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;17,000;5,882;0,000;18,000;18,000;;;;03/11/2023;11/11/2023;0,000;;
003005008;7909990000928;TARTE AMANDE MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005009;7909990000935;TARTE FRAISE MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005010;7909990000942;TARTE ABRICO MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005011;7909990000959;TARTE POMME MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005012;7909990000966;TARTE FIGUE MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005013;7909990001123;DONUTS CHOCOLAT MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
